url,sha256,fetched_at,county,year,doc_type,local_path,http_status,content_type,bytes,note
https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,a8c397cbec1d1ad51cf484543d8b87a4eecd81957709f5507a60773ecd09966a,2026-09-19T12:05:49+00:00,hunterdon,2023,candidate_list,cache/hunterdon/2023/school-board-candidates.pdf,200,application/pdf,182330,
https://www.essexclerk.com/_Content/pdf/Essex-Sample-Ballots-General-Election.pdf,,2026-09-19T12:05:57+00:00,essex,2023,sample_ballot,,404,text/html,,
https://www.essexclerk.com/_Content/pdf/Essex-Sample-Ballots-General-Election.pdf,,2026-09-19T12:06:15+00:00,essex,2023,sample_ballot,,404,text/html,,
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Allendale.pdf,9d5deaf1a0f45cccedae821881351497d6938df02953f0eb4c6f5e1ac4fff38b,2026-09-19T12:06:32+00:00,bergen,2023,sample_ballot,cache/bergen/2023/allendale.pdf,200,application/pdf,387367,Allendale
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Alpine.pdf,9392486868842b41584fc9dde6d31b289ac88960f847611f3dc29698df1e00e6,2026-09-19T12:06:33+00:00,bergen,2023,sample_ballot,cache/bergen/2023/alpine.pdf,200,application/pdf,386205,Alpine
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Bergenfield.pdf,683378ee19d73c94f4bf3f4435befe94286638588bbd70f413e0d992118b51b6,2026-09-19T12:06:35+00:00,bergen,2023,sample_ballot,cache/bergen/2023/bergenfield.pdf,200,application/pdf,386983,Bergenfield
https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,a8c397cbec1d1ad51cf484543d8b87a4eecd81957709f5507a60773ecd09966a,2026-09-19T12:24:47+00:00,hunterdon,2023,candidate_list,cache/hunterdon/2023/school-board-candidates.pdf,,,182330,"held, not re-fetched"
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Bogota.pdf,79aa8b596365db7a3bb1d46df2792825da3ac75c823a4c1df00fe9c58b098742,2026-09-20T10:14:43+00:00,bergen,2023,sample_ballot,cache/bergen/2023/bogota.pdf,200,application/pdf,387544,Bogota
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Carlstadt.pdf,6b416a86ca2f9e2a604d2fcfe74e15dfc14caff7bf197f955f3e4021a57d3f9a,2026-09-20T10:14:45+00:00,bergen,2023,sample_ballot,cache/bergen/2023/carlstadt.pdf,200,application/pdf,517175,Carlstadt
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/CliffsidePark.pdf,4ade5f78717901358ea3f48364f721a5c520f9c28a0f7be3b859666a077c348a,2026-09-20T10:14:46+00:00,bergen,2023,sample_ballot,cache/bergen/2023/cliffside-park.pdf,200,application/pdf,380434,Cliffside-Park
